pre,term,post,business_id
"gracious, and while we were standing, they got us drinks from the bar.   Tamari has an ample selection of drinks, with interesting ",cocktails, and decent choices of wine and beer.   I was impressed at the innovative tapas combinations. For the first time in my entire life,5kUA_k-ua1wO68jZ1Yo74Q
mouth  Empanada's - yum  Mussels - excellent   We loved everything and the waiter (Walt) recommended some outstanding hand crafted ,cocktails.," This guy was sharp, on the ball, and had excellent recommendations about everything.   Came here under the guise that it was a Su",5kUA_k-ua1wO68jZ1Yo74Q
Great sushi....the ,cocktails," are over priced, but delicious. Seriously overpriced. They need to mix up the menu more often, but this is a regular stop. Don't come unless you're in the mood for the fancy night out.....small plates and expensive drinks make for a big bil",5kUA_k-ua1wO68jZ1Yo74Q
"ather than a true fusion of the two cuisines.   The drink menu is reasonably priced, with glasses of wine for $7.00, The signature ",cocktails,", which are creative and sophisticated, are typically priced at $9.   The decor of Tamari is very sophisticated, with Asian influe",5kUA_k-ua1wO68jZ1Yo74Q
"The bulgogi was nicely marinated and full of flavor, and came served with a bit of kim chi that popped with spicy flavor.  I had a ",cocktail," called the Last Word, which included Bluecoat Gin, chartreuse, and lemon bitters. It was good, but a little undersized and overly",5kUA_k-ua1wO68jZ1Yo74Q
s for her to show up to order our food but finally gave up we had someone else go find her and we pay for our overly expensive $10 ,cocktails," and left to Burgatory which had way cheaper drinks and better food.  Don't make the the mistake of going here! Go to Burgatory, r",5miOOTlAtDJQtTwuQXgYxw
"you can't go wrong with those. loaded or not. They have what seemed to have about 45 beers on draft, a large range of wines, craft ",cocktails,", and awesome looking Martinis. I noticed some pretty good happy hour specials as well. This is probably going to be my new go-to ",5miOOTlAtDJQtTwuQXgYxw
"election of Californian wines, including PEACHY CANYON!!! Paso Robles wine in PA!!) If wine's not your thing, they have an awesome ",cocktail," menu with classics and originals, and specials on some of those as well.  Added bonus - the bartenders are just fabulous. Knowled",5p60nXyjQruKvEZix6ahVQ
"rants, was very good, as were the bread and red wine. Service started a little slow because the place was crowded, but once we got ",cocktails," things moved along smoothly. Points were deducted for the noise level and tight table placement, as comments from the next table ",5p60nXyjQruKvEZix6ahVQ
"o head out for a nicer dinner with some friends.  Seviche did not disappoint!  It has a cool, urban atmosphere with great food and ",cocktails,", what more could you ask for?  The waitress told us that up until recently, they were a tapas restaurant, but now they have also ",5REYrZfsX3m4E3FTwovp5Q
" However, they were blasting obnoxious hard core vulgar RAP music the entire time. They were out of about 6 menu items and the $10 ",cocktail, was very weak. If I'm going to pay top prices for food and drink (which I have no problem doing) I kind of expect a nicer atmosph,5REYrZfsX3m4E3FTwovp5Q
good option for spontaneous drinks/bites with some coworkers.  Happy hour runs from 4-6 and features specials on certain wines and ,cocktails," for $5, as well as some $5 tapas. I believe there is a selection of discounted beers as well.  We usually order a few of the tapa",5REYrZfsX3m4E3FTwovp5Q
" and kept me engaged the whole evening.  The beer menu is lacking, and they only have bottles.  It's definitely more of a wine and ",cocktail," type of restaurant.  I'm tempted to dock a star because the music was obnoxiously loud by the end of the evening, but the overall",5REYrZfsX3m4E3FTwovp5Q
share a few appetizers and don't want anything heavy. The tacos are also delicious! My favorite thing about Seviche would be their ,cocktails., I recently had a caprese martini that was incredibly refreshing! You wouldn't think a drink inspired by a salad (it is garnished ,5REYrZfsX3m4E3FTwovp5Q
" sandwich, salad, and/or side for lunch. But then again, it's a full service bar with a few craft beers on tap and you could get a ",cocktail," or beer and also enjoy some grub.  I was in the mood for a quality sandwich today so I stopped in and had the ""Famous Special"" --",62b0uHo9uaSsoOMQFG55jg
yes. Why would anyone gamble at prices in a whiskey bar? You could be ordering an $8 shot or a $15 shot. Also there was no whiskey ,cocktail," list either like at the other joints. If there was, the rude bartender did not offer it.   I waited about 15 minutes for service.",6AV2oHINgc7LGNlJlqAXUA
"ound this place thanks to Yelpies and invited him to meet me here.  As I arrived early, I sat at the tiny little bar and ordered a ",cocktail.," Holy. Cow. I can't remember the name, but I'll never forget the flavors of the gin martini with grapefruit and lemon juices and a",6hKY8sj-ikAQdzrkrBcvuQ
ing atmosphere.  The food is prepared well and presented in a simple but pleasing way.  They do a wonderful job of everything from ,cocktails, to grilled cheese to the most succulent bronzzini ever..... It's a great little place and I hope it never goes away!,6hKY8sj-ikAQdzrkrBcvuQ
" to three and a half. It is still jarringly loud in this restaurant. But I think the food,  the service, and the excellence of the ",cocktails, make this place worth visiting,6hKY8sj-ikAQdzrkrBcvuQ
"rner by the window.   I started off with a delicious manhattan, which makes me wish they had a bigger bar area to grab some casual ",cocktail,"s at with friends. But I'm okay sticking with a dinner cocktail for now.   We started with the Lovino ($10 - tempura mozzarella, It",6hKY8sj-ikAQdzrkrBcvuQ
"as held in their upstairs area- which wasn't too big, but cozy, and had a bar and a decent size stage. Although they specialize in ",cocktails,", I am not much of a liquor drinker, so I paid attention to their wine and beer list. Their draft list was decent- lots of local b",74gDxr6rs_8tUTcS1vkr0Q
"e three times fried fries, although they didn't seem like they had been thrice fried, they were still tasty. Their beer, wine, and ",cocktail," list is extensive and there is most definitely something tasty for people of all preferences. I was the DD tonight, but they had ",74gDxr6rs_8tUTcS1vkr0Q
" is that I will definitely be back here in the future.  I am actually excited to head back here for not only the food, but to have ",cocktails, on a weekend night and listen to some jazz music.  This is definitely a hidden gem on the North Side!,74gDxr6rs_8tUTcS1vkr0Q
"i really like this place - vibe was good, service was very good, music was entertaining and the space is nice.  the ",cocktails," were ok, but they ran out of some of the beers i wanted to try.  the rating is for the totally disappointing food.  unfortunately, my experienc",74gDxr6rs_8tUTcS1vkr0Q
"such a high turnover draft rate, that is sometimes a difficult feat.  I get it!  Anyway, nice selection by both draft and bottle.  ",Cocktails," looked pretty darn good as well.    We started with pierogies, tequila lime wings, and the onion rings.  The pierogies were alrig",74gDxr6rs_8tUTcS1vkr0Q
 no life or action.  I ordered a mango lemonade alcohol beverage and they brought it in a shaker and never poured it.  I asked for ,cocktail, sauce and they brought a weird pink sauce with white in it. I guess they didn't have actual cocktail sauce here so they mixed som,7hDLmP8WRdIpb5Bqzv1nwQ
Industry is a great place to grab a ,cocktail,", beer, or some really good food.  I recommend going down for lunch or dinner rather than late night as it gets pretty crowded and very loud.  Went over the weekend and our group grabbed some amazing cocktails. I got the Car",-7H-oXvCxJzuT42ky6Db0g
r dinner rather than late night as it gets pretty crowded and very loud.  Went over the weekend and our group grabbed some amazing ,cocktail,"s. I got the Carnegie Cucumber, a wonderful gin cocktail that was amazingly refreshing. The only one I remember someone getting was ",-7H-oXvCxJzuT42ky6Db0g
"eat.  Sometimes she would forget something, but always realized when she returned to the table and immediately retrieved it.   The ",cocktail ,list is wonderful and I had a Cohesion which was like a kicked up last word which is one of my favorite cocktails!  They also hav,-7H-oXvCxJzuT42ky6Db0g
"ce between a sports bar and a cocktail bar. They've got a wide whiskey selection, craft beer selection, and the type of liquor and ",cocktails, that make your mixology nerds happy.,-7H-oXvCxJzuT42ky6Db0g
" a whiskey bar? We were disappointed by it. For sake of trying something new, for his first round my hubby got the War of Currents ",cocktail,", and I went for the Union Bushel. We both enjoyed the drinks, though we had to admit that with the excessive amount of ice in the",-7H-oXvCxJzuT42ky6Db0g
I gave this place average because of the food and service; as far as drink selection/unique ,cocktails,", bar atmosphere, and beer selection it gets 4 or 5 stars. Its name speaks to the place; industrial, modern decor, dark, good mood lighting and atmosphere... 2/3 of the",-7H-oXvCxJzuT42ky6Db0g
Great restaurant and bar.  Full ,cocktail, menu and extensive beer list.  I recommend the Beam Honey Mule...delicious spin on the Moscow Mule.  Jamaican Tacos are superb and it comes with quinoa and roasted veggies.  Food not too expensive.  Dining areas are a bit tight,7l-CCyNnvT86GMR5EtYjog
arnivores will fall deeply in love with these veggies. The drink menu is also on par with the food. Seasonal drinks and refreshing ,cocktails.," Both menus are extremely well written. Sit back and enjoy them like a good, hilarious novel before placing your order. You won't ",7l-CCyNnvT86GMR5EtYjog
"Great food, located a block from the top of the Monongahela Incline. Lots of vegetarian options and a great ",cocktail, selection. Lovely patio area for outdoor seating.,7l-CCyNnvT86GMR5EtYjog
 and everything we ordered was great -- especially the mac & cheese with lobster and the short rib tacos. Good tap list & seasonal ,cocktails, and reasonable prices.  This was a great dinner destination after riding the incline and sightseeing on Mt. Washington. We will b,7l-CCyNnvT86GMR5EtYjog
"Sat on the patio, quiet and cozy @ 6pm on a Thursday. Great happy hour specials, on appetizers and beer. Great ",cocktail, and beer list and unique items as well as staple items on menu. The goat cheese stuffed peppers were yummy!,7l-CCyNnvT86GMR5EtYjog
"hat here. You'll get a darn good bespoke drink if you ask for it, but the bartenders are lovely and down to Earth. These are craft ",cocktails," done right.   Food is great as well. Some of my faves include the Elote Dip, Goat Cheese Fritters, and everything on the brunch m",7mOWMhlibS62hedb1m5A3Q
Easily one of my favorite spots for a few delicious ,cocktails,! I recently had a peach manhattan? Maybe old fashioned I can't remember... But it was tits! I'm not even an avid bourbon drinker but I was feeling risky that night and I'm glad I did! The bartenders are awes,7mOWMhlibS62hedb1m5A3Q
"hat? No servers? The restaurant was really well designed. Super urban. The basement had graffiti along the walls. And again, great ",cocktails,.,7mOWMhlibS62hedb1m5A3Q
"I love the vibe at Summit, the ",cocktails, are really cool. It's just super small and there aren't many seats so I that keeps me away sometimes.,7mOWMhlibS62hedb1m5A3Q
"et enough to have a conversation and alive enough not to feel out of place. Also great for a date night, grab a table, and let the ",cocktail," waitress take care of you.  Also, ALWAYS ask what they have special that night, innovative and delicious drinks in the works at a",7mOWMhlibS62hedb1m5A3Q
"garita - or as I call it - the Sangarita.  What a perfect combination.  Sweet, tart, tangy, with a kick of tequila - a cool summer ",cocktail," which I will enjoy all summer long.  I rate this a 3.5 - if the food was a bit more flavorful, it would be a solid 4.",7mU3l5VjH1IxsXcxBxUblg
"e Emiliano's!  I've had everything from the vegetarian menu, and I've never had a bad meal.  I love the full bar and the specialty ",cocktails, too.  The service is almost always great.  I highly recommend this restaurant if you like Tex Mex.,7mU3l5VjH1IxsXcxBxUblg
4 of us decided to stop here for lunch on Saturday.   We ordered ,cocktails," and it took about 20 minutes to get them.  They were awful.  We ordered guac and never got it.  Finally, an hour later we got our food.  Mine looked nothing like the picture.  It was an egg on t",7mU3l5VjH1IxsXcxBxUblg
Follows the general equation:   Pop Music + Videos + ,Cocktail," Drink Specials = Gay Bar  Pretty typical.    Patio is probably super rad in the not-winter months.  Quote of the evening, ""Aaaah 5801, where you're guaranteed to get a complete reading of the canon of Rihan",7pgmsGEqV7yawGM4b4fRrw
"ch less smokey, so that's where we stayed. patio was CROWDED.  all the bartenders are amazing and have very deft hands. I LOVE the ",cocktails,", especially for their names, like ""Platinum Blonde"" and ""Smurf Cum"" - absolutely delicious, and you can't taste the booze at all.",7pgmsGEqV7yawGM4b4fRrw
