pre,term,post,business_id
"ably priced lunch specials.  For about 8 bucks or so, you can get a complete lunch with either soup or salad.  I tried the chicken ",basil," with garlic, eggplant, and a whole bunch of Asian veggies too numerous to list.  The chicken was tender, the veggies fresh, and t",0PCBt3JKD6IooicImKNBzA
"ver was very friendly and helpful. She made some recommendation and we loves it. We order Tom yun, red chili shrimp and fried rice ",basil, and regular. We order extra hot papaya salad. That was a mistake.. It was too hot but still good. Good portion was good size we e,0PCBt3JKD6IooicImKNBzA
"nd yelped this Thai restaurant which is walking distance from hotel. Crowded even at around 9pm on a Sat. Ordered the shrimp cake, ",basil," mussels, green curry and lad nah. They were all DELICIOUS! I'm Asian and have had my fair share of Thai food from Bangkok. I must",0PCBt3JKD6IooicImKNBzA
I tried the ,basil," with tofu last week and was pleasantly surprised -- one of the better Thai meals I've had around town. This is definitely going to become a regular lunch spot for me, especially since they have a bar which makes meals for one more convenient. On a",0PCBt3JKD6IooicImKNBzA
"t some more curry rather than just a miserly dip-sized bowl.  On to the entrees: we ordered the Red Curry with fish (extra spicy), ",Basil," Fried Rice with chicken and shrimp (medium spicy), Gap rap Lad Kao with chicken (medium spicy) and the Siracha Noodles with chick",0PCBt3JKD6IooicImKNBzA
pers had written about.  So on my last visit I had previously promised to myself I would change it up.  I went with the spicy fish ,basil,", spicy number 7.  Talk about flavor.  Here I had found just what I wanted.  The spicy fish basil was one of the very  few Asian d",0PCBt3JKD6IooicImKNBzA
to pack your mouth ( little sweeter for my taste but that's the coconut in it). We also had the rice noodles with sauteed tofu and ,basil, sauce. I would absolutely come back to this place next time I'm in Pittsburgh,0PCBt3JKD6IooicImKNBzA
"e sweet noodles, not a savory hint in sight. My co-worker got the spicy noodles. it tasted good but you could not really taste the ",basil,", which is the key ingredient in this thai dish.   The location and prices were good. I'd give it 1 star for authenticity though..",0PCBt3JKD6IooicImKNBzA
"We each got our own entrees, I had the Salmon Mango Curry - Grilled salmon, slice fresh mango, pea carrot stir-fried mix vegetable ",basil," leaves, topped with green curry sauce. It was very delicious. I tried to save room for dessert but ate the whole thing. My friend",0PCBt3JKD6IooicImKNBzA
"wasn't bad, I would be curious to try this sauce on a pie that had a sensible amount of cheese.  The flavor is mostly derived from ",basil,", oregano and sugar.  They are definitely using a lot of water in the sauce and adding sugar to offset it.  Its not the worst suga",0vAHRd4Xlsdx3fHV8JCRBQ
yed it.  This experience would not be as enjoyable.  We each ordered lunch.  I had a pasta dish that was supposed to have a tomato ,basil, sauce with artichokes and hot saussage.  It was served instead with hormel pepperoni and some sort of basalmic vinagrette and no ,0xxW5PmeFV1MWkvDwU7XaQ
"g Petal slightly winning in how refreshing and fun it was with the Hibiscus.  The Tickle 'n Giggle with Pop Rocks, Leblon cachaça, ",basil,", coconut lemongrass nigori, lime was fun and delicious. I could not quite figure out how to get the pop rocks into the drink, so ",17DImn_vPnuwU9hhRFXlUA
"The crepes are an easy choice to love - dessert and savory are both great, but I LOVE the paninis here. The tomato ",basil, and mozzarella is my favorite and sometimes I got multiple times in the same week! It does get very crowded and you can't order if there's no se,1cGyzWtfOoDiE8V0OR85yA
a that was mango/raspberry and it was great. No complaints about those at all. Yummy and refreshing.  THEN I ordered the PINEAPPLE ,BASIL, MARGARITA. It was just eh. I didn't think that it tasted like pineapple or basil!! I couldn't really pick out what it tasted like,1dhPgc7E7IzzpxjHM2LphQ
"w potatoes and corn on the cob.  BJ got the Skillet Paella.  The skillet had clams, shrimp, mussels, scallops and sausage a tomato ",basil, sauce served over rice and topped with crisp calamari.  No mess here.  He was cheating!  I believe there are three very important,1FDhJNAuPXRGbMi9x0muGA
" cocktails are $2 off during that time, so my friends and I stopped! We each had two great cocktails, but our favorite was the gin ",basil," smash. It was refreshing and had great flavor! We split three appetizers: the roasted pork nachos, hot Asian bbq wings, and shred",1HfkEkNhI6XJXkgrCTBKpw
"s.   I also usually stick to his specials, which for me always combine flavors atypical to your average sushi place. I'd never had ",basil," in sushi before, but it really made the flavor of the roll.  Andy's is a great place to stop if you're out and about and want som",1LUaZFVMEjodl1tbAGF3sQ
"Dined at Andy's today.  What a treat!  If you like spicy, you MUST have the chile-infused soy to dip.  Also, Andy uses ",basil," in the tuna rolls:  I have never had that before and it adds a flavorful element.  Bravo, Andy!  Can't wait to come back again.",1LUaZFVMEjodl1tbAGF3sQ
"tive and mashes different flavor concepts together for you to sample as you wait. He once came up with a maki roll made of salmon, ",basil,", cucumber and mango....brilliant!!  Wholeys is such a fantastic people watching spot anyway and it's always amusing to see random",1LUaZFVMEjodl1tbAGF3sQ
"food.  It does, however, get crowded frequently and become very warm.  Also, the hummus doesn't taste like hummus: it's so full of ",basil, that it's rather like eating pesticide and herbs.,1M6tA3TqxcpptHW0_hP9Kw
ntly sold at the Macaroni Company in the Strip if you can't make it out to Bloomfield. Try them with Macaroni Company's own tomato ,basil, sauce - to die for.,1MQQZ2kTiBbN3_hpmGdavw
"ordered a Lafferty to go. to my surprise there's NO marinara. just a dry sandwich with cheese, chicken and ",basil., next time I'm going over to Primanti's for food since they at least make their food as described in the menu.,1RECFIhw6tdiP4l3smu6Kw
Was really loud for Brunch. Not sure if the Mimosas had any champaign at all. My Caprese Omelet did not have any ,basil, in it at all. The French toast my friend had was fantastic as was our waitress.,1RECFIhw6tdiP4l3smu6Kw
" lemonade. When your beverage elicits positive expletives from you, you know your meal is off to a good start. Wow, was that good. ",Basil," and mint bruised and soaked in hot water, cooled, strained, and blended with citrus juice it was a perfectly refreshing and delic",23gakZ_NlN3K0SqOBybwug
ok thai food.  I recently had lunch here with my boss on her suggestion that we should try this restaurant.  I ordered the chicken ,basil, and it was ok.  I probably won't be back unless my boss really wants to go here again.,2GDZzcl2Jdn8186EEOTrCg
 came out quickly enough.  But it was quite underwhelming.  I settled with the Thai Fried Rice with beef.  There was a ton of Thai ,basil, in the dish which was quite overwhelming.  I couldn't be sure if the basil was fresh which may be why the dish tasted a bit ranci,2GDZzcl2Jdn8186EEOTrCg
ouse wine and gazed upon our menus. The have a narrowed down lounge menu which is just great.  We ordered the daily special of the ,Basil, Bruchetta and the Calamari. I separately also had a half of the Arugula salad. The Bruchetta was spicy! This was a surprise for m,2p_xWNAGm_5sVvr_Vs6mlw
ovolone Sausage and Polenta (the agreed upon winner of the pre-entree selections)  Chicken Marsala x 2 Wheat spaghetti with tomato ,basil, sauce and meatball Wheat spaghetti with meat sauce and meatball Crab stuffed salmon And one other entree that I can't remember  A,2RUfgq0oH5QOYENT6xzO4A
 Friday night. The food was prepared prefectly and was fabulous. I had the Lobster rav topped with scallops and shirmp in a tomato ,basil, cream sauce. The entire meal was cooked to prefection and the sauce was amazing. Katie had brolied sole topped with crabmeat in a,2RUfgq0oH5QOYENT6xzO4A
"e also ordered the chef Bellino pie.... It clearly stated white garlic sauce... There was no sauce at all. Actually, there was dry ",basil, and Plopped Ricotta cheese carelessly placed on this pie. When we tried to call the restaurant to return this $42 monstrosity of ,2UCXCbv7qaO3d8FfQd4Ing
 a bit long be prepared for this but make the commitment their pizza is excellent.  The margarita pizza is delicious ask for extra ,basil, and tomato you won't regret it.   They don't really have much of a dine in option but there are some tables.  Great service delic,2wCzZUwcqRRBrAtBBYxnog
"d it was delicious. And they were so round, big and puffy! It was impossible to just have one...  I ordered the omelette which was ",basil, eggs stuffed with creamy spinach artichoke. I wasn't so sure about the creamy stuffing but it turned out quite nice. The creamine,3cbsPfoUUrysf-M8FI_0IA
"my favorites off the menu (including Green Eggs and Ham, temporarily, because they said they couldn't make it in the winter - WTF? ",Basil," grows in a flowerpot, man!) and started making blueberry pancakes with frozen blueberries. Who puts frozen blueberries in $11 pan",3GuqcEYaF1d1WXcwOX5xPw
"etty good - eggs didn't have quite as strong of a pesto taste as I'd like (my boyfriend's mom observed that they tasted more like """,basil,""" and less like ""pesto"").  But the ham was pretty tasty.    I tried my boyfriend's fried chicken and biscuits, and I was super not",3GuqcEYaF1d1WXcwOX5xPw
"I loved the building and the waitstaff.  Got the Grapes of Wrath, which was good but had no hint of ",basil.,  Nice drink specials.  Menu leaves much to be desired if you have dietary restrictions. Waitress was so sweet she ran my cardigan out to me in the rain.  Can't,4c19YWOjPmbFUK4-V2GEvg
"o expensive for my budget, but I often get lunch here (take out is also available). The barbecued pork quesadillas and mozzarella, ",basil,", roasted red pepper panini are positively delectable, and my friends rave about the fried cod sandwich, which is gigantic. They a",4hJHSMKyKJRl50k9EM6jkA
ere really excited to try this place as soon as we saw it open. I went with a group of 4. My friends really liked their strawberry ,basil," drink specials. The special soup I got was delicious. It was described as shrimp and clams, but was mostly potatoes.  I was very ",4VIAadQ0yZGss1vNHWUk9g
Delicious lunch! Hot is hot so beware. ,Basil," dish w jalapeños spicy, but flavors blend so well, you leave w happy mouth! All employees bustin' ass, even mgr bussing tables. We'll be back!",50KEvLtQl9Vv4YE1vs681Q
" on Labor Day.  The Tom Ka soup was very good, but not outstanding.  General's chicken was average.  However, please try the Spicy ",Basil, Noodle.  Good flavors and pleasantly satisfying.  Can you get better elsewhere?  Yes.  Is Thai Foon well above average and perfec,50KEvLtQl9Vv4YE1vs681Q
"erfectly salted edamame. We then got 4 dishes for 5 people: the Pad Thai noodles, Indonesian fried rice, triple delight, and spicy ",basil, chicken (dinner portion as recommended by our waiter). Two of the dishes came with rice and we chose brown rice.  I liked everyth,50KEvLtQl9Vv4YE1vs681Q
I love Thai Foon. I grab lunch here 1-2 times a month. I always get the spicy ,basil, noodle. It's quite delicious.  For the most part the service is great. On occasion it can be a bit slow depending on who the server of the day is. But I can almost always get in and,50KEvLtQl9Vv4YE1vs681Q
Service was outstanding and as usual the prices are still unbeatable. Spicy ,basil, noodle is by far the best dish on their menu. The crab Rangoon is also a very nice way to start the meal off. For 2 people eating you can get an appetizer and 2 entrees all under 25 b,50KEvLtQl9Vv4YE1vs681Q
Thai Foon is awesome! I've had the spicy ,basil, noodle and the pad Thai. I love spicy foods and these two are very flavorful and definitely spicy (especially the spicy basil noodles). The portions are big. The spring rolls and summer rolls are good as well. The summ,50KEvLtQl9Vv4YE1vs681Q
we tried the chicken pad thai and spicy basil noodles..not very good..doesn't taste as good as the chicken pad thai from Papaya and, spic,y basil noodles from Little Bangkok...the dishes at Thai Foon tasted 'americanized'..,50KEvLtQl9Vv4YE1vs681Q
picy basil noodle and the pad Thai. I love spicy foods and these two are very flavorful and definitely spicy (especially the spicy ,basil, noodles). The portions are big. The spring rolls and summer rolls are good as well. The summer rolls come with a spicy peanut sau,50KEvLtQl9Vv4YE1vs681Q
"of these types of lettuce wraps, and Thai Foon's are now among my favorite. The pork dumplings also had a great flavor.   My spicy ",basil," noodles were outstanding. It was HUGE portion, that I was able to take home and have for 2 more meals.   The place was very clean",50KEvLtQl9Vv4YE1vs681Q
Average at best. This is Thai fast food. Ordered Spicy Basil Rice noodles. The rice noodles were overlooked and there was not a lot, of t,"aste to the dish itself. The dish itself is titled ""spicy basil"" but it wasn't spicy at all. I expected the dish to be at least a",50KEvLtQl9Vv4YE1vs681Q
ay lunch.  The menu was pretty big and they offered a lot of lunch specials.  I ordered green curry tofu and the husband got spicy ,basil," tofu.  Neither were spicy (our server didn't inquire about our spice preference), and we asked for some hot sauce.  She brought u",50KEvLtQl9Vv4YE1vs681Q
" and they don't get carried away trying to throw too much in each dish.  My favorite, which I pretty much stick with, is the spicy ",basil, noodles.  I usually get a side of chili oil so I can adjust the heat.  I like many ethnic foods.  It doesn't have to be perfectly,50KEvLtQl9Vv4YE1vs681Q
 level of 10 - Get your milk ready.  I love Thai food.   I have been to this restaurant several times for lunch.   I recommend the ,Basil, Chicken and Pad Thai - Both are pretty good.   What takes this place over the average Asian Cuisine (like previous review - a fus,50KEvLtQl9Vv4YE1vs681Q
" awards?  No, but then again, most chefs would be satisfied if the majority of people in the restaurant love what they're eating.  ",Basil," noodles are very good. Their soups are interesting and flavorful, but not over the top!  If you like Thai food, try it.",50KEvLtQl9Vv4YE1vs681Q
"Adequate though Thai place for a work lunch if you're in the area, but I wouldn't pick Thai Foon for any other reason.  My SPICY BA",SIL w,"ith vegetables tasted like your typical take-out Thai dish, sadly lacking in basil flavor but strongly accented with the unavoida",50KEvLtQl9Vv4YE1vs681Q
"e dish on my own, but I can't get it so I guess I'll have to keep coming back for more!  Best pad thai I've had also and the spice ",basil," is really good if you're looking for a punch of heat.  Prices are reasonable, although they've increased since they first opened.",50KEvLtQl9Vv4YE1vs681Q
4 stars  Spicy ,Basil," Noodles and the Pad Thai were winners, the bubble tea with pomegranate and star mango was not.",50KEvLtQl9Vv4YE1vs681Q
t many dishes. The Honey Coated Walnut (a sweet dish) is probably my favorite. General Tso Chicken is also very good and the spicy ,basil, was not something I would order again. The coconut and fried rice are very good with your dish but an upcharge.  I would say it's,50KEvLtQl9Vv4YE1vs681Q
This place was awesome! Great pad thai and spicy ,basil," noodles. Waiter was very attentive, restaurant was extremely clean. Would definitely go back again!",50KEvLtQl9Vv4YE1vs681Q
staff helped us make great selections being our first time. Went for lunch. Yellow curry w/ coconut rice was great. Wife had spicy ,basil, chicken (she doesn't do spicy) and said it was great. Thai steamed dumplings were awesome. Would have given 5 stars but time betw,50KEvLtQl9Vv4YE1vs681Q
I'm a big fan of Thai Foon and can't get enough of the spicy ,basil, noodle with a Thai iced tea. Service is pretty quick and atmosphere is better than can be expected for a strip mall location.,50KEvLtQl9Vv4YE1vs681Q
negar had been formed rather nontraditionally into little gelatinous cubes - tastier than it may sound - and sprinkled with lemony ,basil.,   Entrees: Crispy pork shoulder over slightly smoky peaches and fried greens. Perfecly crisped with fork-tender meat inside. Outs,50UjA4nDdqypN-hBUOAPmQ
(In English) I've tried the Mongolian Beef and the Chicken with ,Basil.," These two dishes are just so-so: they taste like the dishes in a Chinese restaurant for non-Chinese customers; the sizes of the dishes are small, without much protein; the taste of the beef is OK",58oVEzvF6EnOmvVkXYFkTg
  The portions are very small. I'm a 100lb weakling and still hungry after one entree. The rice bowls are doll-sized. The eggplant ,basil, is about 50% eggplant and 50% mixed vegetables.   It gets really drafty during the winter if you sit in the booths across from th,58oVEzvF6EnOmvVkXYFkTg
veral years in Shadyside and Fox Chapel locations. The quality has been declining recently. Tonight I got a take-out order of Tofu ,Basil," that was awful. It had no flavor, and no heat, in spite of me asking for an 8/10 spice level. The brown rice was dried out and ta",58oVEzvF6EnOmvVkXYFkTg
"the tofu was limp, the sauce was watery, the green peppers had been frozen (c'mon, we're entering pepper season right now) and the ",basil," was wilting.  On the plus side, they had the cut carrots into fun star shapes with the centers bored out.  But alas, even the car",58oVEzvF6EnOmvVkXYFkTg
The greatest margarita menu I've ever seen. The strawberry cucumber was my favorite. I also tried the mango cayenne and ,basil, agave. All are amazing! I will never go anywhere else for one. The food was great. Left full and happy. Definitely a place to try and enjoy,5eKk8dA1QtKaQr_5i_SCRw
refried beans with it.   Their queso is amazing as well!   Their drinks are amazing as well! I love their mango margaritas and the ,basil, agave drink.   Best Mexican food in Pittsburgh!,5eKk8dA1QtKaQr_5i_SCRw
ausage and peppers appetizer.  My wife thinks the greens 'n beans are excellent.  We always do a pasta course as well.  The tomato ,basil, sauce with a touch of cream is fantastic.  Their signature dish for years has been the double cut veal chop.  Can't miss.,5G-ulG_g_MpcIYlNzaCMmA
"ly. Though they do serve alcohol, we choose to bring our own wine. You are allowed to do so with a $8 corkage fee per bottle.  The ",basil, olive oil and bread were fantastic! We also ordered some olives to snack on while we waited for our main dishes. I can't remember,5OV1bavavdsYyfeBRNiOeA
" VERY cold, which made it hard to enjoy the flavors.  For dinner I had a chicken dish that was stuffed with prosciutto, cheese and ",basil.," While the fresh squeezed tomatoes were nice, I didn't love the dish. The chicken was rough and didn't have much flavor. Portion s",5p60nXyjQruKvEZix6ahVQ
"th the bread rather than just butter or even oil.   For lunch, I opted for the angel hair pasta with shrimp, artichokes, tomatoes, ",basil," and garlic in a white, wine lemon sauce minus the shrimp.  In any restaurant, I always wish when you opt for no meat or seafood o",5p60nXyjQruKvEZix6ahVQ
"r one item from each group. For example, the dish at our table included beef tenderloin, shrimp with salsa, gnocchi and mozzarella ",basil," salad. The portions are all tapas size but all together, it makes for a solid meal. Great way to sample different parts of the me",5p60nXyjQruKvEZix6ahVQ
"minding me of anything, which maybe is a good thing.  After consulting with friends, we decided it tasted like coca-cola with some ",basil, flavor.  Sounds weird? - well try it and I think you'll be pleasantly surprised.    Overall - I think this is a great place for d,5REYrZfsX3m4E3FTwovp5Q
cucumber pico. The drinks were excellent-I had a banana mojito and a mixed berry capirhina and they were very well made. The apple ,basil, mojito was had by one of my dining partners and I was able to sneak in a sip and it was delicious. Overall the experience was a g,5REYrZfsX3m4E3FTwovp5Q
ently had a caprese martini that was incredibly refreshing! You wouldn't think a drink inspired by a salad (it is garnished with a ,basil," leaf, grape tomato and a mozzarella ball) would be so good but it is! It is almost like a really light Bloody Mary but with more ",5REYrZfsX3m4E3FTwovp5Q
 beans are still al dente with a light breeding that does not overwhelm the vegetable. I had the veggie grilled cheese with tomato ,basil, soup. I would have liked grilled instead of toasted bread and more melted cheese to prevent the vegetables from making the bread ,6hKY8sj-ikAQdzrkrBcvuQ
"standard. I'm always excited to try their different seafood dishes, and the Iovino's appetizer with sweet italian sausage, tomato, ",basil,", and tempura mozzarella is to die for. The homemade deserts are wonderful.",6hKY8sj-ikAQdzrkrBcvuQ
ook my mother and sister (a pastry chef from LA) for a Saturday lunch. Both were impressed. Monster grilled cheese with the tomato ,basil," soup can't be beat, and I won't be thinking about dinner until late tonight!",6hKY8sj-ikAQdzrkrBcvuQ
"ed, my request for the chocolate turtle cake with a candle was forgotten, and worse yet the food (with the exception of the Tomato ",Basil, Soup) got a failing grade.  The crab cake appetizer was a huge disappointment; the overcooked crab cakes looked like something pr,6hKY8sj-ikAQdzrkrBcvuQ
"with a dinner cocktail for now.   We started with the Lovino ($10 - tempura mozzarella, Italian sweet sausage, marinated tomatoes, ",basil,", organic mixed greens). You can't deny the power of tempura mozzarella. I kept repeating how much I enjoyed the balsamic too. Pro",6hKY8sj-ikAQdzrkrBcvuQ
" quick dinner here, as they also have excellent salads, sandwiches, soups, etc. I had their pick 2 option, and got a cup of tomato ",basil, bisque and a hot ham and cheese sandwich (because who can pass up dipping a hot sandwich into tomato soup during January?). The s,6WU_JVpPPnbAfBvMcRoPuw
". At $14/entree and with 6 very hungry people, this was a huge disappointment.   What we had:   - coconut soup - lemongrass soup - ",basil, leaf stir-fry - ginger stir-fry - panang curry - pineapple curry - rad-na - tofu eggplant with basil leaf  My gripes:   1. Coconu,749lGtWM9PsrWonlVY4W2w
endly. Restaurant is noisy when crowded. The food was a big disappointment. We had the fish in ginger sauce and mixed seafood with ,basil," leaves. The fish was overcooked, the scallops in the mixed seafood dish had gone bad, and neither dish was tasty. What do others ",749lGtWM9PsrWonlVY4W2w
ongrass noodle with chicken as well know lemongrass itself has an amazing aroma and flavor and in addition to that if you add Napa ,basil," the aroma and flavor would be irresistible but nope! We had to be disappointed the there was no aroma, no flavor and let alone th",749lGtWM9PsrWonlVY4W2w
pring rolls to start out! My favorites are Panang Curry or Red Curry with Beef...spice level 7.  If you aren't a curry fan try the ,Basil, Leaf w/Beef.,749lGtWM9PsrWonlVY4W2w
"of my favorite Thai places. I usually get the green curry with chicken with a number 8 spice level. Hot, but not unbearable.  Thai ",basil," leaf chicken is what I like to call Thai halushki. Sautéed cabbage, basil leaf, chicken and it's delish! I've had the other curry",749lGtWM9PsrWonlVY4W2w
Overpriced and under seasoned.....I tried the coconut soup with shrimp spice level 5 and the basil leaf with chicken spice level 7., For ,what its worth the coconut soup was only marginally better than the basil leaf mainly because I could at least tell that they att,749lGtWM9PsrWonlVY4W2w
Panang and this was good but nothing that left me wanting more - may not even order it again from here.  Wife had a tofu dish with ,basil, and eggplant - had good flavor.    Dining room is nice and a little more up-scale.  Still a little over priced but for some reaso,749lGtWM9PsrWonlVY4W2w
"Not only is it a really nice looking restaurant, the food makes me very happy as well.  I've compared their Spicy ",Basil," Noodle to all other thai places in town, trying to match BB's quality without success.  Thai Cuisine in Bloomfield is the only place that can com",749lGtWM9PsrWonlVY4W2w
"Went there at 8pm on a Friday night. Curry was okay, appetizers not so fresh, and the soft shell crab with ",basil," was horrible. That stuff must have been sitting in the back of the freezer for ages.   The place was half empty, but the server did her best to rush us ",749lGtWM9PsrWonlVY4W2w
 kind of consider myself a pumpkin curry expert since it's the 4th place I have sampled it in PGH. My boyfriend got a sweet potato ,basil," curry with chicken. Both of our heat levels were pretty weak, I ordered a 5 and got more like a 2, and boyfriend agreed. But over",749lGtWM9PsrWonlVY4W2w
The spicy ,basil," noodles with chicken are delicious. The pad thai is also very good- not as good as the recipe from Pim or Cooks Illustrated that I make at home, but best I've found in the PGH area. The springrolls are addicting, as is the chicken satay with the del",749lGtWM9PsrWonlVY4W2w
er chance.   I did not expect to break my neck this night.   That is how much head bobbing I did. I was well lubricated with their ,Basil," Bourbon, which nobody even hinted at how amazing it tasted. Like seriously amazing. I'm talking stab your mother and marry the ba",74gDxr6rs_8tUTcS1vkr0Q
"beer selection as well as a great list of cocktails.  I opted for a cocktail given the speakeasy theme, and it was good (I had the ",Basil, Bourbon) though not amazing.  We had wings and fried oysters for appetizers.  The wings were on special for half off so that was ,74gDxr6rs_8tUTcS1vkr0Q
